min_bucket	cp_val	max_depth	min_split	ganancia_promedio
240	-0.5	6	1100	11880000
240	-0.5	6	850	11383333
240	-0.5	6	700	11133333
240	-0.5	30	1100	11986667
240	-0.5	30	850	11566667
240	-0.5	30	700	10990000
240	-0.5	1200	1100	11986667
240	-0.5	1200	850	11566667
240	-0.5	1200	700	10990000
240	-5e-05	6	1100	11880000
240	-5e-05	6	850	11383333
240	-5e-05	6	700	11133333
240	-5e-05	30	1100	11986667
240	-5e-05	30	850	11566667
240	-5e-05	30	700	10990000
240	-5e-05	1200	1100	11986667
240	-5e-05	1200	850	11566667
240	-5e-05	1200	700	10990000
190	-0.5	6	1100	11290000
190	-0.5	6	850	10836667
190	-0.5	6	700	10346667
190	-0.5	30	1100	11396667
190	-0.5	30	850	10770000
190	-0.5	30	700	9630000
190	-0.5	1200	1100	11396667
190	-0.5	1200	850	10770000
190	-0.5	1200	700	9630000
190	-5e-05	6	1100	11290000
190	-5e-05	6	850	10836667
190	-5e-05	6	700	10346667
190	-5e-05	30	1100	11396667
190	-5e-05	30	850	10770000
190	-5e-05	30	700	9630000
190	-5e-05	1200	1100	11396667
190	-5e-05	1200	850	10770000
190	-5e-05	1200	700	9630000
90	-0.5	6	1100	9823333
90	-0.5	6	850	9646667
90	-0.5	6	700	9546667
90	-0.5	30	1100	9276667
90	-0.5	30	850	9366667
90	-0.5	30	700	9063333
90	-0.5	1200	1100	9276667
90	-0.5	1200	850	9366667
90	-0.5	1200	700	9063333
90	-5e-05	6	1100	9823333
90	-5e-05	6	850	9646667
90	-5e-05	6	700	9546667
90	-5e-05	30	1100	9276667
90	-5e-05	30	850	9366667
90	-5e-05	30	700	9063333
90	-5e-05	1200	1100	9276667
90	-5e-05	1200	850	9366667
90	-5e-05	1200	700	9063333
