cp_val	min_bucket	max_depth	min_split	ganancia_promedio
350	-0.5	6	1400	11660000
350	-0.5	6	1200	11660000
350	-0.5	6	900	11386667
350	-0.5	30	1400	11676667
350	-0.5	30	1200	11676667
350	-0.5	30	900	11776667
350	-0.5	1200	1400	11676667
350	-0.5	1200	1200	11676667
350	-0.5	1200	900	11776667
350	-0.05	6	1400	11660000
350	-0.05	6	1200	11660000
350	-0.05	6	900	11386667
350	-0.05	30	1400	11676667
350	-0.05	30	1200	11676667
350	-0.05	30	900	11776667
350	-0.05	1200	1400	11676667
350	-0.05	1200	1200	11676667
350	-0.05	1200	900	11776667
350	-0.005	6	1400	11660000
350	-0.005	6	1200	11660000
350	-0.005	6	900	11386667
350	-0.005	30	1400	11676667
350	-0.005	30	1200	11676667
350	-0.005	30	900	11776667
350	-0.005	1200	1400	11676667
350	-0.005	1200	1200	11676667
350	-0.005	1200	900	11776667
300	-0.5	6	1400	11660000
300	-0.5	6	1200	11660000
300	-0.5	6	900	10626667
300	-0.5	30	1400	11676667
300	-0.5	30	1200	11676667
300	-0.5	30	900	10740000
300	-0.5	1200	1400	11676667
300	-0.5	1200	1200	11676667
300	-0.5	1200	900	10740000
300	-0.05	6	1400	11660000
300	-0.05	6	1200	11660000
300	-0.05	6	900	10626667
300	-0.05	30	1400	11676667
300	-0.05	30	1200	11676667
300	-0.05	30	900	10740000
300	-0.05	1200	1400	11676667
300	-0.05	1200	1200	11676667
300	-0.05	1200	900	10740000
300	-0.005	6	1400	11660000
300	-0.005	6	1200	11660000
300	-0.005	6	900	10626667
300	-0.005	30	1400	11676667
300	-0.005	30	1200	11676667
300	-0.005	30	900	10740000
300	-0.005	1200	1400	11676667
300	-0.005	1200	1200	11676667
300	-0.005	1200	900	10740000
250	-0.5	6	1400	12353333
250	-0.5	6	1200	12353333
250	-0.5	6	900	11856667
250	-0.5	30	1400	12460000
250	-0.5	30	1200	12460000
250	-0.5	30	900	12480000
250	-0.5	1200	1400	12460000
250	-0.5	1200	1200	12460000
250	-0.5	1200	900	12480000
250	-0.05	6	1400	12353333
250	-0.05	6	1200	12353333
250	-0.05	6	900	11856667
250	-0.05	30	1400	12460000
250	-0.05	30	1200	12460000
250	-0.05	30	900	12480000
250	-0.05	1200	1400	12460000
250	-0.05	1200	1200	12460000
250	-0.05	1200	900	12480000
250	-0.005	6	1400	12353333
250	-0.005	6	1200	12353333
250	-0.005	6	900	11856667
250	-0.005	30	1400	12460000
250	-0.005	30	1200	12460000
250	-0.005	30	900	12480000
250	-0.005	1200	1400	12460000
250	-0.005	1200	1200	12460000
250	-0.005	1200	900	12480000
