fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 093543	-0.794212318745849	4532	724	12	5	9646000	1
20220408 093605	-0.322170710863429	1800	420	6	5	10401000	2
20220408 093628	-0.478431046730839	7167	1824	17	5	8401000	3
20220408 093654	-0.729013576534635	4442	1095	14	5	9797000	4
20220408 093719	-0.218464143542224	3769	1739	10	5	9030000	5
20220408 093746	-0.430919845020981	3413	834	16	5	9795000	6
20220408 093808	-0.549732870636217	2144	930	7	5	10210000	7
20220408 093837	-0.263762979753665	6694	289	15	5	8540000	8
20220408 093854	-0.122736055088171	7543	1218	5	5	8441000	9
20220408 093909	-0.950675142160617	6188	612	4	5	9513000	10
20220408 093946	-0.703054529277142	581	197	18	5	9318000	11
20220408 093959	0.0807151102359058	5537	102	3	5	0	12
20220408 094023	-0.625603275148023	5488	1512	14	5	9073000	13
20220408 094051	-0.824021632736549	7474	334	18	5	8441000	14
20220408 094119	-0.283399240637664	2329	738	13	5	9866000	15
20220408 094142	-0.510053054615855	7664	1653	10	5	8498000	16
20220408 094157	-0.372669982865173	1934	966	3	5	9010000	17
20220408 094231	-0.48540166974373	28	1	11	5	9691000	18
20220408 094247	-0.698075230908638	3229	418	3	5	9032000	19
20220408 094316	-0.93655772340857	2776	1386	14	5	9486000	20
20220408 094346	-0.542861501579855	2022	688	20	5	10170000	21
20220408 094416	-0.313477952086585	19	2	9	5	10105000	22
20220408 094446	-0.54527485181222	3164	400	12	5	9485000	23
20220408 094501	-0.833931462754169	3998	1997	3	5	8287000	24
20220408 094525	-0.999828239147721	20	5	7	5	9837000	25
20220408 094558	-0.33212236891642	1295	462	20	5	9586000	26
20220408 094627	-0.507394236170825	1984	991	16	5	10382000	27
20220408 094644	-0.250021238051666	1424	344	4	5	9541000	28
20220408 094710	-0.89050876965395	1476	738	7	5	10163000	29
20220408 094739	-0.318572900245088	1145	572	8	5	10087000	30
20220408 094803	-0.317168402912148	2501	1	7	5	9068000	31
20220408 094832	-0.673619054314039	1799	149	9	5	10006000	32
20220408 094857	-0.252798737613427	8000	1154	20	5	8441000	33
20220408 094920	-0.579681788624686	622	311	6	5	10579000	34
20220408 094948	-0.68031768043435	2347	1169	20	5	9590000	35
20220408 095011	-0.71752250187405	798	399	6	5	10645000	36
20220408 095032	-0.999769158835329	7997	1177	7	5	8441000	37
20220408 095054	-0.814326751828371	1751	319	6	5	10175000	38
20220408 095125	-0.654827132062309	1565	781	14	5	10211000	39
20220408 095147	-0.705415196175963	1452	719	6	5	10100000	40
20220408 095215	-0.47403780831305	1878	457	9	5	10403000	41
20220408 095242	-0.999789228117952	6223	901	14	5	9513000	42
20220408 095305	-0.327366098102383	6532	981	7	5	9355000	43
20220408 095331	-0.669531036425947	711	351	7	5	10182000	44
20220408 095355	-0.474121491058494	811	405	6	5	10431000	45
20220408 095425	-0.940644280919891	954	475	10	5	10101000	46
