fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220408 190717	726	25	185	42	5	9692000	1
20220408 220352	1360	17	245	37	5	10542000	2
20220408 220839	348	14	432	21	5	11252000	3
20220408 222635	2026	26	334	12	5	11330000	4
20220408 222920	467	29	56	7	5	11194000	5
20220408 230534	2434	9	124	34	5	10838000	6
20220408 231311	1651	4	442	24	5	10746000	7
20220408 232325	599	11	154	32	5	11212000	8
20220408 234932	1296	22	346	27	5	10464000	9
20220408 235339	2156	6	312	4	5	10132000	10
20220409 002903	1068	18	485	46	5	10322000	11
20220409 002955	210	2	271	39	5	9199000	12
20220409 004010	1807	7	30	15	5	11728000	13
20220409 011112	2321	29	211	18	5	10690000	14
20220409 020601	1547	19	72	48	5	9391000	15
20220409 021156	959	13	385	9	5	11430000	16
20220409 021810	1007	8	101	14	5	11279000	17
20220409 022024	2084	1	1	14	5	-4000	18
20220409 023728	1249	6	500	50	5	10785000	19
20220409 023915	100	7	1	50	5	10327000	20
20220409 024002	100	4	500	35	5	10719000	21
20220409 024417	1933	11	1	2	5	10562000	22
20220409 024741	1193	28	500	2	5	10789000	23
20220409 033328	1561	13	497	50	5	10543000	24
20220409 040448	1673	8	1	50	5	10814000	25
20220409 040552	100	13	6	14	5	9402000	26
20220409 040715	100	11	391	23	5	11025000	27
20220409 041004	1108	15	500	2	5	10500000	28
20220409 041029	100	27	319	2	5	11406000	29
20220409 045616	2500	14	300	29	5	11146000	30
20220409 045642	100	30	340	2	5	11287000	31
20220409 051110	1652	7	311	25	5	11239000	32
20220409 053108	1210	12	274	29	5	11077000	33
20220409 053134	100	25	458	2	5	11241000	34
20220409 054900	1609	7	149	32	5	11138000	35
20220409 055308	100	29	377	50	5	9185000	36
20220409 060024	2446	27	1	2	5	11816000	37
20220409 060724	2379	30	1	2	5	11910000	38
20220409 061443	2500	24	1	2	5	11742000	39
20220409 062152	2480	24	256	2	5	11208000	40
20220409 062625	1538	26	1	2	5	11758000	41
20220409 063341	2500	26	73	2	5	11610000	42
20220409 064029	2500	19	371	2	5	11069000	43
20220409 064056	100	23	1	2	5	10925000	44
20220409 064121	101	19	351	2	5	10636000	45
20220409 064837	2447	29	1	2	5	11847000	46
20220409 065554	2500	30	368	2	5	11169000	47
20220409 070036	1576	30	1	2	5	11538000	48
20220409 070741	2500	24	500	2	5	11038000	49
20220409 075850	2500	30	1	27	5	8825000	50
20220409 081733	2500	11	500	13	5	11544000	51
20220409 085529	2496	18	500	18	5	11081000	52
20220409 091528	2472	13	500	12	5	11677000	53
20220409 093731	2481	4	405	50	5	10457000	54
20220409 095527	2235	25	1	10	5	10531000	55
20220409 095704	103	26	500	19	5	10283000	56
20220409 101641	2451	8	1	19	5	11250000	57
20220409 102359	2499	21	1	2	5	11633000	58
20220409 103426	1687	7	500	16	5	11343000	59
20220409 145536	1549	21	500	7	5	11747000	60
20220409 145945	1493	22	413	2	5	11348000	61
20220409 151417	1542	20	500	13	5	11323000	62
20220409 153233	928	11	500	38	5	11050000	63
20220409 161556	1960	11	1	43	5	10610000	64
20220409 163430	1671	13	500	18	5	11617000	65
20220409 165409	2122	14	389	14	5	11665000	66
20220409 170122	2500	30	122	2	5	11636000	67
20220409 171210	1739	10	352	11	5	11616000	68
20220409 174312	1542	15	500	31	5	11063000	69
20220409 180005	2500	21	463	9	5	11918000	70
20220409 191031	2500	21	500	38	5	10421000	71
20220409 192053	435	10	248	50	5	10874000	72
20220409 193800	2008	11	233	15	5	11728000	73
20220409 195030	2260	21	386	7	5	11701000	74
20220409 195311	100	14	372	41	5	9972000	75
20220409 200051	1253	6	171	20	5	11250000	76
20220409 201104	1354	11	428	13	5	11613000	77
20220409 202813	1689	10	140	20	5	11370000	78
20220409 204028	2466	21	500	6	5	11645000	79
20220409 205954	2392	22	500	11	5	11443000	80
20220409 210447	701	21	462	9	5	11730000	81
20220409 212244	2500	16	388	10	5	11623000	82
20220409 213653	2454	7	173	15	5	11398000	83
20220409 214444	1054	17	459	10	5	11811000	84
20220409 215732	1915	17	457	9	5	11732000	85
20220409 221318	2443	12	351	10	5	11597000	86
20220409 223209	2500	30	317	10	5	11639000	87
20220409 224734	2500	10	21	11	5	11427000	88
20220409 230313	1870	5	500	36	5	10507000	89
20220409 230418	101	30	360	12	5	10726000	90
20220410 004117	2499	26	500	50	5	9881000	91
20220410 004159	184	28	1	2	5	11204000	92
20220410 005333	2497	30	4	5	5	11544000	93
20220410 005543	740	29	237	2	5	11104000	94
20220410 011427	2500	27	484	10	5	11534000	95
20220410 013133	2500	20	456	9	5	11853000	96
20220410 013913	1143	18	497	9	5	11542000	97
20220410 014528	863	16	500	10	5	11743000	98
20220410 024339	2500	10	488	50	5	10959000	99
20220410 024645	162	17	498	26	5	10658000	100
20220410 025224	903	26	420	8	5	12106000	101
20220410 025554	534	26	425	8	5	11984000	102
20220410 030325	1185	26	425	8	5	11819000	103
20220410 030844	816	26	365	8	5	11683000	104
20220410 031206	614	6	412	17	5	11089000	105
20220410 031704	850	26	440	7	5	11932000	106
20220410 033810	2498	9	421	18	5	11527000	107
20220410 034056	923	24	51	2	5	11687000	108
20220410 043112	2500	27	410	27	5	10352000	109
20220410 044812	2500	19	213	9	5	11213000	110
20220410 044923	443	1	500	50	5	6119000	111
20220410 045030	100	5	239	43	5	10808000	112
20220410 045542	825	27	415	8	5	11506000	113
20220410 050105	859	25	416	8	5	11611000	114
20220410 050409	971	26	1	2	5	11795000	115
20220410 050942	1839	23	1	2	5	11546000	116
