fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220411 222134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	178	TRUE	0.0393191811962918	0.450656295751521	2158	24	20	18	0.0228910281302801	12289000	1
20220411 222207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	136	TRUE	0.0349121861816717	0.434070082091161	2550	20	5	20	0.0263495380892501	12064000	2
20220411 222249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	315	TRUE	0.0284028744394891	0.46269959986925	2378	18	23	12	0.0474326540970997	7251000	3
20220411 222344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	346	TRUE	0.0273122887063905	0.439843761098538	2193	19	7	23	0.0407121629768794	9927000	4
20220411 222435	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	415	TRUE	0.025536327413117	0.447435870363344	2907	30	26	26	0.0187670312622296	12793000	5
20220411 222513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	191	TRUE	0.0286053634218739	0.408882770051215	2779	15	9	10	0.0247591339251986	12262000	6
20220411 222607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	479	TRUE	0.026306417396159	0.460629505569315	2614	11	8	21	0.0145649863447207	13492000	7
20220411 222646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	202	TRUE	0.0265614977846521	0.482177830291247	2324	22	16	9	0.0362851752993828	10212000	8
20220411 222729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	433	TRUE	0.0316664742236026	0.428789450141734	2833	8	13	15	0.0449524566337849	9239000	9
20220411 222758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	195	TRUE	0.0326136444239611	0.472588710153442	2222	10	11	0	0.0113956371994434	13039000	10
20220411 222829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	193	TRUE	0.0370685589376704	0.425357814617122	2728	25	22	29	0.0302734435853338	11368000	11
20220411 222910	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	205	TRUE	0.0363180677396511	0.444881398530145	2085	28	1	6	0.0330361380008981	10635000	12
20220411 222944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	239	TRUE	0.0298642468658675	0.47959980098198	2454	7	30	16	0.0202984189751164	12488000	13
20220411 223010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	168	TRUE	0.0351624430278649	0.402591837442014	2401	12	5	2	0.045985185996341	8780000	14
20220411 223120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	610	TRUE	0.0204796134933297	0.495648000667903	2596	17	26	28	0.0337403157071094	10674000	15
20220411 223156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	187	TRUE	0.0231232590268233	0.437505013323555	2261	27	27	15	0.0239153994451044	12193000	16
20220411 223237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	253	TRUE	0.0238642264270623	0.465205654409614	2798	14	21	1	0.0312626339186127	11396000	17
20220411 223324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	218	TRUE	0.0312607635873636	0.455623961635034	2650	28	0	22	0.0413807441421557	9409000	18
20220411 223404	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	336	TRUE	0.0330761726173971	0.412136411177094	2119	9	19	19	0.0165766383706276	13120000	19
20220411 223445	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	328	TRUE	0.0300813105437971	0.422288079308679	2951	31	24	8	0.0279501665980206	11590000	20
