fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	prob_corte	ganancia	iteracion
20220411 213628	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	260	TRUE	0.0255101911403472	0.445516969459519	2498	26	4	0.0221864762274587	12686000	1
20220411 213721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	383	TRUE	0.0263712501647145	0.467116647171982	2387	17	4	0.0226202578458469	12446000	2
20220411 213744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	17	TRUE	0.0222521015295448	0.446959644855815	2848	13	6	0.00850195102118758	11774000	3
20220411 213845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	338	TRUE	0.02624959216977	0.452451678179204	2902	22	7	0.0412929687695093	9501000	4
20220411 213926	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	229	TRUE	0.0242684117996638	0.429706104123034	2352	18	1	0.0240925660128899	12325000	5
20220411 214037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	391	TRUE	0.0206288184904649	0.489974533786881	2238	21	8	0.0286312575694562	11425000	6
20220411 214109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	195	TRUE	0.0248271131856988	0.492742353900879	2731	9	10	0.0314227514107188	11259000	7
20220411 214142	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	194	TRUE	0.0277639830356929	0.480138016307804	2832	13	2	0.0179343297187491	13166000	8
20220411 214229	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	386	TRUE	0.0229270464984196	0.420979395035344	2784	12	3	0.0191485551585275	13309000	9
20220411 214319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	241	TRUE	0.029550546547786	0.438758286853166	2325	24	7	0.0151910184737871	13294000	10
20220411 214410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	201	TRUE	0.026945631801888	0.429109257575086	2123	29	6	0.0479862387727836	8385000	11
20220411 214514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	221	TRUE	0.0227814421650449	0.47847355081467	2611	31	2	0.0334043533733671	10688000	12
20220411 214604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	514	TRUE	0.0213593253863898	0.457646141965718	2682	6	9	0.0166910868804229	13221000	13
20220411 214651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	255	TRUE	0.0218615194731198	0.472700633872106	2932	19	1	0.0447010940037823	8721000	14
20220411 214730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	178	TRUE	0.0282342376011851	0.462867587031603	2629	23	2	0.0359174161065312	10269000	15
20220411 214807	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	345	TRUE	0.0287716892359701	0.483629887871211	2132	7	7	0.026505642737013	12118000	16
20220411 214900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	255	TRUE	0.0253486039029667	0.401816525897205	2057	26	8	0.0113906990501467	13192000	17
20220411 214952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	487	TRUE	0.0270943344941285	0.434202235746974	2965	8	9	0.0300472414240681	11418000	18
20220411 215121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	485	TRUE	0.0200090540149055	0.416496019349628	2030	29	5	0.0415947706229215	9423000	19
20220411 215200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	223	TRUE	0.0235267393663526	0.499402341185487	2278	15	3	0.0497490438173473	7648000	20
20220411 215246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	296	TRUE	0.028335347463532	0.411583506779668	2526	27	10	0.0388536566674399	9768000	21
20220411 215333	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	287	TRUE	0.0210204445581379	0.406035938066392	2419	11	0	0.0376747055099663	10301000	22
20220411 215414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	316	TRUE	0.0297042966488516	0.419755044725025	2181	15	0	0.0451127340682433	9145000	23
20220411 215502	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	235	TRUE	0.0239862394104906	0.460538328216838	2555	21	5	0.0127249290796398	13138000	24
20220411 215547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	346	TRUE	0.0253214650928605	0.414982830909809	2581	13	5	0.0166673016080899	13575000	25
20220411 215617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	220	TRUE	0.0243348213359562	0.419381605289385	2141	8	6	0.0156678201550029	13390000	26
20220411 215715	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	291	TRUE	0.022905630447673	0.400332946337128	2474	23	7	0.0160918280024672	13461000	27
