Feature	Gain	Cover	Frequency
ctrx_quarter	0.198731255366677	0.028301086874469	0.0226742247415805
mpasivos_margen	0.0659476080712762	0.0168371712032071	0.0206735578526175
mpayroll	0.0561247436301058	0.026369569442236	0.00733577859286429
cpayroll_trx	0.0528660011919611	0.0222366903250987	0.00516838946315439
mcaja_ahorro	0.0512605482288817	0.0135577366927343	0.0183394464821607
mtarjeta_visa_consumo	0.0344396658853239	0.0133636379697757	0.0121707235745248
Visa_msaldototal	0.031450561468724	0.0119692456445517	0.0143381127042347
mcuentas_saldo	0.0312089938399757	0.0279513982245736	0.0350116705568523
mactivos_margen	0.0289153862227864	0.0294849850066896	0.0266755585195065
mprestamos_personales	0.0259263072260593	0.0299481313372234	0.00883627875958653
mrentabilidad_annual	0.0189465065377064	0.0153446244926607	0.0270090030010003
mcuenta_corriente	0.0186156066426538	0.0156783031459451	0.029676558852951
Visa_msaldopesos	0.0165965012573879	0.0188660784984525	0.0208402800933645
Master_fechaalta	0.0153042467103651	0.0247273947938601	0.0358452817605869
cliente_edad	0.0143914511211337	0.0188755097484625	0.0303434478159386
Visa_fechaalta	0.0140623146889627	0.0148201429142755	0.0305101700566856
Master_Fvencimiento	0.0135130054373104	0.0213828088485427	0.0353451150383461
ctarjeta_visa_trx	0.0126649002137056	0.00837245085615256	0.0111703901300433
mcomisiones_otras	0.0112690778321518	0.0141450183180188	0.0258419473157719
chomebanking_trx	0.0109938873841832	0.0132197214633214	0.019673224408136
numero_de_cliente	0.0106667627895011	0.0122978167748402	0.0268422807602534
Master_mfinanciacion_limite	0.0104468265722826	0.0137410421595507	0.0321773924641547
mrentabilidad	0.0103846210051961	0.0118172855924486	0.0186728909636546
mcomisiones_mantenimiento	0.0100526734775293	0.0237729818458074	0.0151717239079693
Visa_Fvencimiento	0.00965105374758349	0.0112010741859684	0.0266755585195065
ccomisiones_otras	0.00953301575256122	0.0133877172102645	0.0111703901300433
Visa_mfinanciacion_limite	0.00948209961327278	0.0169125762313869	0.0258419473157719
Visa_cconsumos	0.00931831976041309	0.00824945270803118	0.0135045015005002
Visa_mconsumototal	0.0076900189097117	0.0103119540130194	0.0133377792597533
mcaja_ahorro_dolares	0.00726883607164476	0.0184154472053979	0.0150050016672224
cprestamos_personales	0.00713869537284921	0.00560479657442609	0.00266755585195065
cproductos	0.00707595399054711	0.00686427319787155	0.00866955651883961
Visa_mpagominimo	0.00701163358490263	0.00935411035140722	0.0151717239079693
Visa_mpagospesos	0.00678018981699149	0.00881803887178351	0.0165055018339447
ccomisiones_mantenimiento	0.00665328403868742	0.0239509356564532	0.0075025008336112
thomebanking	0.00631097083474712	0.0054706710931866	0.00583527842614205
Visa_mconsumospesos	0.00613038163906923	0.0106393622984496	0.0193397799266422
cliente_antiguedad	0.00597658424689789	0.00963402830981142	0.013837945981994
mcomisiones	0.00589982313075423	0.0126086047307227	0.0160053351117039
mtransferencias_emitidas	0.00523745333231462	0.0154441473086727	0.0140046682227409
Master_status	0.00501553287608953	0.0162463303732186	0.00350116705568523
mautoservicio	0.00489360098132586	0.00936876476644325	0.00783594531510503
Visa_mlimitecompra	0.00483723122098506	0.011960527520394	0.0121707235745248
ctransferencias_recibidas	0.00464910076580805	0.0136246548808164	0.0105035011670557
Master_mlimitecompra	0.00438742256551433	0.00734939151412359	0.0136712237412471
mtransferencias_recibidas	0.00434190245339826	0.00516679596088087	0.0113371123707903
ccallcenter_trx	0.0040705164304304	0.00793593431532691	0.00366788929643214
ctransferencias_emitidas	0.0039830145235148	0.0131186246307887	0.00766922307435812
Visa_mpagado	0.00362281135149119	0.019076662635257	0.00766922307435812
